Team,Matches,W,D,L,GF,GA,GD,Pts.
Atlético,38,23,6,9,128,83,45,76
Girona,38,22,6,10,118,81,38,72
Barcelona,38,21,6,11,116,83,34,70
Real Madrid,38,20,6,12,109,83,26,67
Real Sociedad,38,19,7,12,100,82,18,63
Athletic,38,17,7,14,94,86,8,58
Granada,38,17,7,14,92,85,7,58
Sevilla,38,17,7,15,90,84,6,57
Rayo Vallecano,38,16,7,15,88,86,2,54
Villareal,38,15,7,16,87,88,-1,53
Valencia,38,14,7,16,77,85,-7,51
Real Betis,38,14,7,17,76,85,-9,50
Almería,38,14,7,17,75,85,-9,49
Getafe,38,13,7,18,76,89,-13,47
Osasuna,38,13,7,18,74,89,-14,46
Mallorca,38,13,7,18,70,85,-15,46
Celta de Vigo,38,11,7,20,61,87,-26,40
Las Palmas,38,10,7,20,59,86,-27,38
Alavés,38,10,7,21,56,86,-30,38
Cádiz,38,10,7,21,62,92,-30,38
